relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
3,Embedded Software Tester | Slovakia,freelance_de,"Embedded Software Entwickler  (m/w/d)FirmennameCSoftwareentwicklung / -programmierungInformations- und KommunikationstechnologieEmbeddedBLDC01.07.2025Remscheid, Deutschland21.01.2026 8:14Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,C,,German,,,Recent,https://www.freelance.de/projekte/projekt-1249310-Embedded-Software-Entwickler-m-w-d,2026-02-06T18:18:30.685754+00:00
3,Embedded Software Tester | Slovakia,freelance_de,"Embedded Software Entwickler  (m/w/d)FirmennameCSoftwareentwicklung / -programmierungInformations- und KommunikationstechnologieEmbeddedBLDC01.07.2025Remscheid, Deutschland06.02.2026 8:18Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,C,,German,,,Recent,https://www.freelance.de/projekte/projekt-1252612-Embedded-Software-Entwickler-m-w-d,2026-02-06T18:18:30.686065+00:00
3,Embedded Software Tester | Slovakia,freelance_de,Scrum Master / Embedded SystemsFirmennameEmbedded SystemsHardware-Entwicklung / EngineeringInformations- und KommunikationstechnologieScrum-MasterIT-Koordinatoren01.02.2026Deutschland25.01.2026 21:21Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,Embedded Systems,"Scrum, Scrum Master",German,,,Recent,https://www.freelance.de/projekte/projekt-1250189-Scrum-Master-Embedded-Systems,2026-02-06T18:18:30.687680+00:00
3,Senior Test Engineer | Slovakia,freelance_de,"Senior Data Platform EngineerFirmennameArbeitnehmerüberlassungData WarehousingBusiness IntelligenceInformations- und KommunikationstechnologieSnowflakeSystem Architektur / Analyse01.03.2026Unterföhring, Deutschland30.01.2026 13:11Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,"Snowflake, Senior",German,Senior,,Recent,https://www.freelance.de/projekte/projekt-1251379-Senior-Data-Platform-Engineer,2026-02-06T18:21:16.880724+00:00
3,AI Engineer Python | Slovakia,freelance_de,AI & RPA Solution Expert (m/w/d)FirmennameWirtschaftsprüferWirtschaftsprüfer / Buchhalter / SteuerberaterVersicherungen und FinanzenAI Engineer01.02.2026Wien und RemoteRemote12.01.2026 6:30Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,,Expert,German,Expert,,Recent,https://www.freelance.de/projekte/projekt-1245032-AI-RPA-Solution-Expert-m-w-d,2026-02-06T18:24:01.274039+00:00
3,AI Engineer Python | Slovakia,freelance_de,Center of Excellence AI LeadFirmennameMicrosoft AzureVirtualisierungInformations- und KommunikationstechnologieChange ManagementManagement02.02.2026DeutschlandRemote23.01.2026 8:12Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,,Azure,German,Lead,,Recent,https://www.freelance.de/projekte/projekt-1249778-Center-of-Excellence-AI-Lead,2026-02-06T18:24:01.274704+00:00
3,AI Engineer Python | Slovakia,freelance_de,"Data & AI Solution Architect (M/W/D)FirmennameMaschinendatenerfassung (MDE)ProduktionstechnikIngenieurwesenDatenverarbeitungKI-Optimierung01.02.2026Baden-Baden, Deutschland13.01.2026 16:09Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,"Architect, Solution Architect",German,Architect,,Recent,https://www.freelance.de/projekte/projekt-1248004-Data-AI-Solution-Architect-M-W-D,2026-02-06T18:24:01.275965+00:00
3,AI Engineer Python | Slovakia,freelance_de,"Freelance Cognigy Conversational / AI Consultant (100% Remote) / Langläufer / TelekommunikationFirmennameGenerative KIMaschinelles LernenInformations- und Kommunikationstechnologie16.02.2026Dresden, DeutschlandRemote06.02.2026 8:15Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,Consultant,German,Consultant,,Recent,https://www.freelance.de/projekte/projekt-1252543-Freelance-Cognigy-Conversational-AI-Consultant-100-Remote-Langlaeufer-Telekommunikation,2026-02-06T18:24:01.276597+00:00
3,AI Engineer Python | Slovakia,freelance_de,"Senior Change Management (Strategic Planning & AI & Data)FirmennameIT-MitarbeiterInformations- und Kommunikationstechnologie (sonstige)Informations- und KommunikationstechnologieSachkundiger BetriebsorganisationManagementanalytiker und -berater01.03.2026Basel, Schweiz06.02.2026 8:17Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,German,Senior,,Recent,https://www.freelance.de/projekte/projekt-1252600-Senior-Change-Management-Strategic-Planning-AI-Data,2026-02-06T18:24:01.276911+00:00
3,ML Engineer | Slovakia,freelance_de,"Software EngineerFirmennameArbeitnehmerüberlassungLinux-SystemadministratorSystementwickler und -analytikerInformations- und KommunikationstechnologieC# DeveloperProgrammierer01.01.2026Dresden, Deutschland06.01.2026 8:22Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,C,"Linux, C#",German,,,Recent,https://www.freelance.de/projekte/projekt-1246730-Software-Engineer,2026-02-06T18:26:47.891876+00:00
3,ML Engineer | Slovakia,freelance_de,"Lead System EngineerFirmennameArbeitnehmerüberlassung01.02.2026Bremen, Deutschland22.01.2026 7:48Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,Lead,German,Lead,,Recent,https://www.freelance.de/projekte/projekt-1249497-Lead-System-Engineer,2026-02-06T18:26:47.893959+00:00
3,ML Engineer | Slovakia,freelance_de,"Rust Software EngineerFirmennameWissenschaftlicher Forscher BiologieBiologenNatur- und UmweltwissenschaftenManager pharmazeutische IndustrieProduktionsmanager01.02.2026Zug, Schweiz22.01.2026 10:57Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Rust,,German,,,Recent,https://www.freelance.de/projekte/projekt-1249608-Rust-Software-Engineer,2026-02-06T18:26:47.894298+00:00
3,Python Developer Remote | Slovakia,freelance_de,"Python Developer (m/w/d)FirmennameSoftwareentwicklerProgrammiererInformations- und Kommunikationstechnologie03.02.2026Wien, Österreich03.02.2026 10:41Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Python,,German,,,Recent,https://www.freelance.de/projekte/projekt-1251847-Python-Developer-m-w-d,2026-02-06T18:29:32.866569+00:00
3,Python Developer Remote | Slovakia,freelance_de,"Python Entwickler/Testautomatisierung (w/m/d)FirmennameScrum-MasterIT-KoordinatorenInformations- und KommunikationstechnologieImmobilienspezialistImmobilienmakler01.02.2026Stuttgart, Deutschland14.01.2026 15:46Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Python,Scrum,German,,,Recent,https://www.freelance.de/projekte/projekt-1248246-Python-Entwickler-Testautomatisierung-w-m-d,2026-02-06T18:29:32.867861+00:00
3,Python Developer Remote | Slovakia,freelance_de,"Shopware Web Developer (w/m/d) Baden Württemberg / RemoteFirmennameHTMLWebInformations- und KommunikationstechnologieJavaScript-EntwicklerProgrammierer01.03.2026Stuttgart, Deutschland28.01.2026 14:20Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Javascript,,German,,,Recent,https://www.freelance.de/projekte/projekt-1244814-Shopware-Web-Developer-w-m-d-Baden-Wuerttemberg-Remote,2026-02-06T18:29:32.868830+00:00
3,Python Developer Remote | Slovakia,freelance_de,Java Backend Developer ab sofort für 6+ Monate (Remote)FirmennameApache KafkaBusiness IntelligenceInformations- und KommunikationstechnologieJava (allg.)Softwareentwicklung / -programmierung16.02.2026DeutschlandRemote30.01.2026 7:25Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,Java,"Kafka, Apache, R",German,,,Recent,https://www.freelance.de/projekte/projekt-1251279-Java-Backend-Developer-ab-sofort-fuer-6-Monate-Remote,2026-02-06T18:29:32.869163+00:00
0,Firmware Test Engineer | Slovakia,freelance_de,"Test Engineer (m/w/d)FirmennameVersuchsingenieur03.02.2026Hennigsdorf, Deutschland+ 1weitere03.02.2026 15:14Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,,German,,,Recent,https://www.freelance.de/projekte/projekt-1251865-Test-Engineer-m-w-d,2026-02-06T18:13:02.565622+00:00
0,Firmware Test Engineer | Slovakia,freelance_de,"Electronics Development and Test Engineer (Junior)Firmenname01.02.2026Zug, Schweiz26.01.2026 11:39Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,Junior,German,,,Recent,https://www.freelance.de/projekte/projekt-1250297-Electronics-Development-and-Test-Engineer-Junior,2026-02-06T18:13:02.566297+00:00
0,Firmware Test Engineer | Slovakia,freelance_de,"INTERIM EMC / EMV Test Engineer (gn)Firmenname01.02.2026Köln, DeutschlandRemote20.01.2026 13:57Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,,German,,,Recent,https://www.freelance.de/projekte/projekt-1249106-INTERIM-EMC-EMV-Test-Engineer-gn,2026-02-06T18:13:02.566582+00:00
0,Firmware Test Engineer | Slovakia,freelance_de,"Test Engineer w. Module testing (m/f/d)FirmennameHardware developerSoftware tester16.02.2026Villach, Österreich12.01.2026 6:30Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,,German,,,Recent,https://www.freelance.de/projekte/projekt-1248738-Test-Engineer-w-Module-testing-m-f-d,2026-02-06T18:13:02.568132+00:00
